,"dateUpdated","timeUpdated","brand","categories","colors","name","isSale","offer"
"AWpx9zdsM263mwCq-0pC","2019 May, 1","2019-05-01T05:14:31Z","City Classified","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black","City Classified Women's Faux Leather Mid Calf Stacked Heel Boot (Tan, 9 B(M) US)",,"Online only"
"AWpx6dK9M263mwCq-0hF","2019 May, 1","2019-05-01T05:14:17Z","CREVO","Clothing,Shoes,Womens Shoes,All Womens Shoes","Brown Nubuck","Women's Crevo Britain Bootie",,"Online only"
"AWpx6oqr0U_gzG0hjyzN","2019 May, 1","2019-05-01T05:14:00Z","City Classified","Clothing,Shoes,Womens Shoes,All Womens Shoes","Natural Beige","1-Ayden by City Classified, Comfy Foam Padded Vintage Chunky Block High Heel Mary Jane Pump",,"Online only"
"AWpx7qRlM263mwCq-0j3","2019 May, 1","2019-05-01T05:13:42Z","SummitFashions","Clothing,Shoes,Womens Shoes,All Womens Shoes","Red","5 Inch Women's Sexy Knee High Boots High Heel Boot With Zipper",,"Online only: 21% off"
"AWpx32EyJbEilcB6RThf","2019 May, 1","2019-05-01T05:13:28Z","Softwalk","Womens Shoes,Clothing,All Womens Shoes,Shoes","Brown Printed Python","Softwalk Womens Hampshire Black Snake Flats Size 6.5",,"Online only"
"AWpx3c790U_gzG0hjyqY","2019 May, 1","2019-05-01T05:11:53Z","Breckelles","Clothing,Shoes,Womens Shoes,All Womens Shoes","Brown","Breckelles Heather-32 New Women PU Criss Cross Strap Chunky Heel Ankle Bootie",,"Online only"
"AWpx8a1uAGTnQPR7v_ln","2019 May, 1","2019-05-01T05:11:19Z","SALE","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black/White Patent","*5 Pump W/ Contrast Piping Bow - Black/White Patent, 6",,"Online only"
"AWpx3rgpM263mwCq-0Zd","2019 May, 1","2019-05-01T05:10:34Z","Callisto","Clothing,Shoes,Womens Shoes,All Womens Shoes","Camel","Callisto Women's Advisor Camel Pump - 11M",,"Online only: 37% off"
"AWpx4ed6AGTnQPR7v_bA","2019 May, 1","2019-05-01T05:09:24Z","Mizuno","Clothing,Shoes,Womens Shoes,All Womens Shoes","BLACK-PINK 9013","Wave Daichi 2 Womens - Mizuno",,"Online only: 65% off"
"AWpx7wzuJbEilcB6RTr8","2019 May, 1","2019-05-01T05:09:16Z","FitFlop","Clothing,Shoes,Womens Shoes,All Womens Shoes","Urban White","Fitflop Womens F-Sporty II Lace Up Fringe Sneaker Shoes",,"Online only: 31% off"
"AWpx34NPAGTnQPR7v_Za","2019 May, 1","2019-05-01T05:08:48Z","David Tate","Clothing,Shoes,Womens Shoes,All Womens Shoes","Natural Satin","David Tate Women's LACEY Natural Ballet Flats 11.5 M",,"Online only"
"AWpx3i7NM263mwCq-0ZG","2019 May, 1","2019-05-01T05:08:01Z","Asics","Clothing,Shoes,Womens Shoes,All Womens Shoes","Silver / Pistachio / Pink Glow","Asics Women's Gt-1000 4 Silver / Pistachio Pink Glow Ankle-High Mesh Running Shoe - 6M",,"Online only"
"AWpx6oUKM263mwCq-0hj","2019 May, 1","2019-05-01T05:07:16Z","Aerosoles","Womens Shoes,Clothing,All Womens Shoes,Shoes","White","Aerosoles Women's Traveler Memory Foam Zip Flats",,"Online only: 20% off"
"AWpx3kulM263mwCq-0ZR","2019 May, 1","2019-05-01T05:07:08Z","City Classified","Womens Shoes,Clothing,All Womens Shoes,Shoes","Blue","City Classified Women's Curvy Round Closed Toe Ankle Strap Flat Sandal",,"Online only"
"AWpx8tmAAGTnQPR7v_mV","2019 May, 1","2019-05-01T05:06:51Z","Diba True","Clothing,Shoes,Womens Shoes,All Womens Shoes","Chocolate Leather","Women's Diba True Flying Solo Bootie",,"Online only"
"AWpx57bwJbEilcB6RTni","2019 May, 1","2019-05-01T05:06:01Z","New Balance","Clothing,Shoes,Womens Shoes,All Womens Shoes","Gg2","New Balance Women's Wx811 Bm2 Ankle-High Running Shoe - 6.5W",,"Online only: 37% off"
"AWpx7VEJM263mwCq-0i-","2019 May, 1","2019-05-01T05:06:00Z","New Balance","Womens Shoes,Clothing,All Womens Shoes,Shoes","Tp","New Balance Womens Wrl24ta Revlite 24 Low Top Lace Up Running Sneaker",,"Online only: 65% off"
"AWpx8SOUM263mwCq-0li","2019 May, 1","2019-05-01T05:04:24Z","Emeril Lagasse Footwear","Womens Shoes,Clothing,All Womens Shoes,Shoes","Black Leather","Women's Canal Sneaker",,"Online only: 23% off"
"AWpx9dYIM263mwCq-0oR","2019 May, 1","2019-05-01T05:02:38Z","Callisto","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black","Callisto Women's Advisor Camel Pump - 11M",,"Online only: 20% off"
"AWpx9bqcAGTnQPR7v_oD","2019 May, 1","2019-05-01T05:02:10Z","Floral","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black","FLORAL Chelsea Women's Wide Width Evening Dress Shoes for Wedding, Prom, Dinner BLACK 10",,"Online only"
"AWpx-B25M263mwCq-0pr","2019 May, 1","2019-05-01T05:01:52Z","Callisto","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black","Callisto Women's Advisor Camel Pump - 11M",,"Online only: 79% off"
"AWpx7th8AGTnQPR7v_j7","2019 May, 1","2019-05-01T05:01:44Z","New Balance","Clothing,Shoes,Womens Shoes,All Womens Shoes","By","New Balance Women's Wvngo By Ankle-High Running Shoe - 7.5W",,"Online only: 53% off"
"AWpx5m6i0U_gzG0hjywe","2019 May, 1","2019-05-01T05:01:22Z","Easy Spirit","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black/Patent","Easy Spirit Womens Motion Leather Almond Toe Oxfords",,"Online only: 28% off"
"AWpx48NHJbEilcB6RTke","2019 May, 1","2019-05-01T05:01:06Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Suede","trotters women's mindy black tumbled leather boot 10 n (aa)",,"Online only: 57% off"
"AWpxdQuuM263mwCq-te_","2019 May, 1","2019-05-01T03:15:50Z","k-swiss","Womens Shoes,Clothing,All Womens Shoes,Shoes","White","women's k-swiss st329 cmf",,"Online only"
"AWpxi45rM263mwCq-v6Y","2019 May, 1","2019-05-01T03:14:03Z","Pleaser","Womens Shoes,Clothing,All Womens Shoes,Shoes","Black Crinkle Patent","FABULOUS-3035, 8 3/4'' Heel 8 1/4'' Thigh Boot",,"Online only"
"AWpxdiTMAGTnQPR7v4uZ","2019 May, 1","2019-05-01T03:13:17Z","Timberland PRO","Womens Shoes,Clothing,All Womens Shoes,Shoes","Brown","Women's Timberland PRO Renova Professional Slip-On",,"Online only"
"AWpxgMJbJbEilcB6RN_M","2019 May, 1","2019-05-01T03:13:17Z","Timberland PRO","Womens Shoes,Clothing,All Womens Shoes,Shoes","Black","Women's Timberland PRO Renova Professional Slip-On",,"Online only"
"AWpxc926AGTnQPR7v4YP","2019 May, 1","2019-05-01T03:13:16Z","Pleaser","Womens Shoes,Clothing,All Womens Shoes,Shoes","Clear PVC-Black/Black","women's pleaser adore 1017rsft ankle boot",,"Online only"
"AWpxbKu4JbEilcB6RKwj","2019 May, 1","2019-05-01T03:13:15Z","Steve Madden","Clothing,Shoes,Womens Shoes,All Womens Shoes","Taupe","Steve Madden Women's Sophia Suede Taupe Leather Pump - 11M",,"Online only: 71% off"
"AWpxjHTZJbEilcB6RPGB","2019 May, 1","2019-05-01T03:13:15Z","Genuine Grip","Womens Shoes,Clothing,All Womens Shoes,Shoes","Black Leather","Women's Genuine Grip Footwear Slip-Resistant Athletic",,"Online only: 27% off"
"AWpxiuZW0U_gzG0hjuML","2019 May, 1","2019-05-01T03:13:11Z","Style Co.","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black","Style Co Qwinn Round Toe Synthetic Ankle Boot",,"Online only: 58% off"
"AWpxfg0RM263mwCq-uoQ","2019 May, 1","2019-05-01T03:13:10Z","PleaserUSA","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Patent","SWING-105, 5 1/2'' Platform Ankle Boot",,"Online only"
"AWpxd2rhM263mwCq-t0-","2019 May, 1","2019-05-01T03:13:10Z","PleaserUSA","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Patent","SWING-105, 5 1/2'' Platform Ankle Boot",,"Online only"
"AWpxdk5DM263mwCq-tr-","2019 May, 1","2019-05-01T03:13:09Z","Stuart Weitzman","Clothing,Shoes,Womens Shoes,All Womens Shoes","Blush Tripoli","Stuart Weitzman Womens Leather Flats Loafers",,"Online only"
"AWpxcPYN0U_gzG0hjrKS","2019 May, 1","2019-05-01T03:13:00Z","Soda","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black","Faux Suede Peep Toe - Thigh High Zipper Closure Lace Up - Chunky High Heel Over The Knee Boot 9",,"Online only"
"AWpxf7wO0U_gzG0hjtKQ","2019 May, 1","2019-05-01T03:12:42Z","Steven by Steve Madden","Clothing,Shoes,Womens Shoes,All Womens Shoes","Pewter Multi","Steven By Steve Madden Womens Nc-Excit Round Toe Ankle Chelsea Boots",,"Online only: 65% off"
"AWpxcIQN0U_gzG0hjrC3","2019 May, 1","2019-05-01T03:12:41Z","Steven by Steve Madden","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Suede","Steven By Steve Madden Womens Shams Open Toe Casual Gladiator Sandals",,"Online only: 83% off"
"AWpxeYb3AGTnQPR7v5Iv","2019 May, 1","2019-05-01T03:12:40Z","Steve Madden","Clothing,Shoes,Womens Shoes,All Womens Shoes","Beige","Steve Madden Womens Esther Closed Toe Loafers",,"Online only"
"AWpxgUYjJbEilcB6ROEH","2019 May, 1","2019-05-01T03:12:40Z","Steve Madden","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black/Gold","Steve Madden Womens Goldie Booties",,"Online only: 42% off"
"AWpxhBHjM263mwCq-vT9","2019 May, 1","2019-05-01T03:12:23Z","Skechers Work","Womens Shoes,Clothing,All Womens Shoes,Shoes","White","Women's Skechers Work D'Lites SR Pooler Alloy Toe Work Shoe",,"Online only"
"AWpxjC6DAGTnQPR7v6-n","2019 May, 1","2019-05-01T03:12:21Z","Anthony Wang","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black","Anthony Wang Mid Calf Women's Combat Boots in White",,"Online only"
"AWpxbMWP0U_gzG0hjqEr","2019 May, 1","2019-05-01T03:12:21Z","ellie","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black","6 Inch Sexy Womens Knee Boots Curved Pattern Criss Cross Cut Out Boots",,"Online only: 29% off"
"AWpxh0mP0U_gzG0hjuDs","2019 May, 1","2019-05-01T03:12:21Z","Anthony Wang","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black","Anthony Wang Mid Calf Women's Combat Boots in White",,"Online only"
"AWpxd5c9M263mwCq-t2T","2019 May, 1","2019-05-01T03:12:21Z","ellie","Clothing,Shoes,Womens Shoes,All Womens Shoes","Gold","6 Inch Sexy Womens Knee Boots Curved Pattern Criss Cross Cut Out Boots",,"Online only: 29% off"
"AWpxcx6I0U_gzG0hjri3","2019 May, 1","2019-05-01T03:12:16Z","Ros Hommerson","Clothing,Shoes,Womens Shoes,All Womens Shoes","White","women's ros hommerson joyce cap toe pump",,"Online only"
"AWpxjDP_AGTnQPR7v6-s","2019 May, 1","2019-05-01T03:12:15Z","Ros Hommerson","Clothing,Shoes,Womens Shoes,All Womens Shoes","White","women's ros hommerson joyce cap toe pump",,"Online only"
"AWpxfRJJAGTnQPR7v5kp","2019 May, 1","2019-05-01T03:12:14Z","Steve Madden","Clothing,Shoes,Womens Shoes,All Womens Shoes","Rose Gold","Steve Madden Women's Notice Rose Gold Ankle-High Leather Pump - 9M",,"Online only: 75% off"
"AWpxe7fcM263mwCq-uWU","2019 May, 1","2019-05-01T03:12:01Z","Emeril Lagasse Footwear","Womens Shoes,Clothing,All Womens Shoes,Shoes","Black/White Canvas","Women's Canal Sneaker",,"Online only: 31% off"
"AWpxg7KkAGTnQPR7v6Ub","2019 May, 1","2019-05-01T03:12:01Z","Okabashi","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black/White","Okabashi Women's Shoes, Marina Epic-Silver/White-M",,"Online only"
"AWpxebolM263mwCq-uGY","2019 May, 1","2019-05-01T03:11:54Z","Genuine Grip Footwear","Womens Shoes,Clothing,All Womens Shoes,Shoes","White Leather","Genuine Grip Footwear Womens 1110 Athletic",,"Online only: 26% off"
"AWpxi2bwAGTnQPR7v66t","2019 May, 1","2019-05-01T03:11:53Z","Forever Link","Womens Shoes,Clothing,All Womens Shoes,Shoes","White Leopard","Symbol37 by Forever Link, Lightweight Daddy Chunky Sneaker - Women's Fashioned Paneled Flats",,"Online only"
"AWpxhhnrM263mwCq-vlZ","2019 May, 1","2019-05-01T03:11:41Z","Genuine Grip","Womens Shoes,Clothing,All Womens Shoes,Shoes","Pewter","Women's Genuine Grip Footwear Slip-Resistant Slip-on Zipper",,"Online only"
"AWpxfpUk0U_gzG0hjtBX","2019 May, 1","2019-05-01T03:11:40Z","Genuine Grip","Womens Shoes,Clothing,All Womens Shoes,Shoes","Black","Women's Genuine Grip Footwear Slip-Resistant Slip-on Zipper",,"Online only: 24% off"
"AWpxf9AaJbEilcB6RN5p","2019 May, 1","2019-05-01T03:09:55Z","SAS","Clothing,Shoes,Womens Shoes,All Womens Shoes","BONE","Women's SAS, Sunburst Sandal",,"Online only"
"AWpxiiaG0U_gzG0hjuKr","2019 May, 1","2019-05-01T03:09:55Z","Mozo","Clothing,Shoes,Womens Shoes,All Womens Shoes","Brown","MOZO Women's Fresco Platform Wedge Buckle Shoe Heels, 2 Colors",,"Online only"
"AWpxdHOw0U_gzG0hjru8","2019 May, 1","2019-05-01T03:09:54Z","Not Just a Pump","Clothing,Shoes,Womens Shoes,All Womens Shoes","Denim Blue","Ogden Women's Slip On Chunky High Heel Pointed Toe Pump Heels Shoes",,"Online only"
"AWpxiu1IAGTnQPR7v64S","2019 May, 1","2019-05-01T03:09:35Z","Faded Glory","Clothing,Shoes,Womens Shoes,All Womens Shoes","SAND","Faded Glory Sport Ballet Shoe",,"Was 16.82"
"AWpxfW7wJbEilcB6RNo2","2019 May, 1","2019-05-01T03:05:50Z","Pleaser","Womens Shoes,Clothing,All Womens Shoes,Shoes","Black Glitter/Black Glitter Synthetic","Women's Pleaser Flamingo 1018G Open Toe Bootie",,"Online only"
"AWpxcGpjJbEilcB6RLu2","2019 May, 1","2019-05-01T03:05:48Z","Pleaser","Womens Shoes,Clothing,All Womens Shoes,Shoes","Silver Glitter/Silver Glitter Synthetic","Women's Pleaser Flamingo 1018G Open Toe Bootie",,"Online only"
"AWpxeIw40U_gzG0hjsSg","2019 May, 1","2019-05-01T03:05:46Z","pleaser","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Stretch Pu and Black Matte","women's pleaser electra 3000z",,"Online only"
"AWpxdp5UM263mwCq-tuj","2019 May, 1","2019-05-01T03:05:43Z","Ryka","Clothing,Shoes,Womens Shoes,All Womens Shoes","Navy/Pink Suede","Women's Ryka Luxury Mule",,"Online only"
"AWpxdX2eM263mwCq-tkB","2019 May, 1","2019-05-01T03:05:39Z","Ros Hommerson","Clothing,Shoes,Womens Shoes,All Womens Shoes","White","Women's Ros Hommerson Nadia Walking Shoe",,"Online only"
"AWpxgrtiAGTnQPR7v6Mp","2019 May, 1","2019-05-01T03:05:39Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","Denim Leather","Women's Trotters Mia Slide Wedge Sandal",,"Online only"
"AWpxfo7_M263mwCq-usL","2019 May, 1","2019-05-01T03:05:38Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","Denim Leather","Women's Trotters Mia Slide Wedge Sandal",,"Online only"
"AWpxgUVpAGTnQPR7v6CK","2019 May, 1","2019-05-01T03:05:38Z","Ros Hommerson","Clothing,Shoes,Womens Shoes,All Womens Shoes","White","Women's Ros Hommerson Nadia Walking Shoe",,"Online only"
"AWpxi7exM263mwCq-v7Q","2019 May, 1","2019-05-01T03:05:37Z","Ryka","Clothing,Shoes,Womens Shoes,All Womens Shoes","White","Women's Ryka Sky Walk Sneaker",,"Online only"
"AWpxdyYDJbEilcB6RM3v","2019 May, 1","2019-05-01T03:05:29Z","Ryka","Clothing,Shoes,Womens Shoes,All Womens Shoes","White","Women's Ryka Sky Walk Sneaker",,"Online only"
"AWpxbPXC0U_gzG0hjqIG","2019 May, 1","2019-05-01T03:04:25Z","Bumper","Clothing,Shoes,Womens Shoes,All Womens Shoes","Gold","Bumper BD36 Women Metallic Leatherette Cut Out Military Lace Up Boot",,"Online only"
"AWpxbjSxAGTnQPR7v3Lq","2019 May, 1","2019-05-01T03:02:20Z","Forever Link","Clothing,Shoes,Womens Shoes,All Womens Shoes","Brown","Mango-27 Women's Lace Up Buckle Strap Chunky Low Heel Combat Knee High Boots",,"Online only"
"AWpxa1jeM263mwCq-rbT","2019 May, 1","2019-05-01T03:02:18Z","Softwalk","Womens Shoes,Clothing,All Womens Shoes,Shoes","Goldwash Metallic Soft Leather","Softwalk Womens Hampshire Black Snake Flats Size 6.5",,"Online only"
"AWpxZ-apM263mwCq-qqv","2019 May, 1","2019-05-01T03:02:15Z","LifeStride Shoes","Clothing,Shoes,Womens Shoes,All Womens Shoes","Fire Red Polyurethane","women's life stride viva loafer",,"Online only"
"AWpxaWxjJbEilcB6RJ-w","2019 May, 1","2019-05-01T03:02:14Z","Penny Loves Kenny","Clothing,Shoes,Womens Shoes,All Womens Shoes","Green","Penny Loves Kenny Women's Mixed Green Pump - 8.5M",,"Online only: 73% off"
"AWpxcPUAM263mwCq-s1z","2019 May, 1","2019-05-01T03:02:14Z","Penny Loves Kenny","Clothing,Shoes,Womens Shoes,All Womens Shoes","Silver Jeweled Lycra","Penny Loves Kenny Women's Aaron Jl Ballet Flat",,"Online only: 20% off"
"AWpxaDFMAGTnQPR7v1sw","2019 May, 1","2019-05-01T03:02:12Z","Bloch","Clothing,Shoes,Womens Shoes,All Womens Shoes","Theatrical Pink","Bloch Womens Belle Leather Low Top Bungee Ballet Dance Shoes",,"Online only"
"AWpxbgXDM263mwCq-sG9","2019 May, 1","2019-05-01T03:02:12Z","Drew","Womens Shoes,Clothing,All Womens Shoes,Shoes","Bone Suede","Women's Drew Joy",,"Online only"
"AWpxbI_3JbEilcB6RKuq","2019 May, 1","2019-05-01T03:02:09Z","Trotters","Womens Shoes,Clothing,All Womens Shoes,Shoes","Black Suede","Trotters Lillian W Square Toe Leather Bootie",,"Online only: 39% off"
"AWpxZ6qk0U_gzG0hjo4G","2019 May, 1","2019-05-01T03:02:09Z","Drew","Womens Shoes,Clothing,All Womens Shoes,Shoes","Olive Combo","Women's Drew Joy",,"Online only"
"AWpxaU7g0U_gzG0hjpOA","2019 May, 1","2019-05-01T03:02:08Z","Trotters","Clothing,Shoes,Womens Shoes,All Womens Shoes","Grey Faux Suede/Faux Leather","Trotters Women's Snowflake III Boot,Grey,6.5 N US",,"Online only"
"AWpxcX7aJbEilcB6RMB4","2019 May, 1","2019-05-01T03:02:05Z","Palladium","Clothing,Shoes,Womens Shoes,All Womens Shoes","Cordovan/Black","Palladium Womens Baggy Leather Knit Leather Lace-Up Combat Boots",,"Online only"
"AWpxbuBY0U_gzG0hjqn5","2019 May, 1","2019-05-01T03:02:04Z","Trotters","Womens Shoes,Clothing,All Womens Shoes,Shoes","White","Trotters Lillian W Square Toe Leather Bootie",,"Online only"
"AWpxbfyIAGTnQPR7v3Hv","2019 May, 1","2019-05-01T03:01:58Z","Lamo","Clothing,Shoes,Womens Shoes,All Womens Shoes","Turquoise","Women's Piper Slip On Sneaker",,"Online only: 52% off"
"AWpxcLINM263mwCq-sxv","2019 May, 1","2019-05-01T03:01:57Z","Lamo","Clothing,Shoes,Womens Shoes,All Womens Shoes","White Snake","Women's Piper Slip On Sneaker",,"Online only"
"AWpxaxnXJbEilcB6RKXE","2019 May, 1","2019-05-01T03:01:50Z","catan","Womens Shoes,Clothing,All Womens Shoes,Shoes","Purple Sequins/Purple Chrome","pleaser women's ado1008sq/g/gch boot, gold sequins/gold chrome, 11 m us",,"Online only"
"AWpxZfI60U_gzG0hjoiA","2019 May, 1","2019-05-01T03:01:49Z","Brinley Co.","Clothing,Shoes,Womens Shoes,All Womens Shoes","Wine","Womens Ankle Strap Faux Suede Faux Leather Wood Stacked Booties",,"Online only: 65% off"
"AWpxcNUKAGTnQPR7v32y","2019 May, 1","2019-05-01T03:01:49Z","SummitFashions","Womens Shoes,Clothing,All Womens Shoes,Shoes","Red","Womens 4 Inch Heels Faux Fur Strap Slide Sandal Shoe Sexy Marabou Slippers",,"Online only: 21% off"
"AWpxZ9MRJbEilcB6RJoX","2019 May, 1","2019-05-01T03:01:43Z","White Mountain","Clothing,Shoes,Womens Shoes,All Womens Shoes","Dk Charcoal","Women's White Mountain Topaz Boot",,"Online only"
"AWpxbQN6M263mwCq-r2M","2019 May, 1","2019-05-01T03:01:43Z","White Mountain","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black Suede","Women's White Mountain Theo Winter Bootie",,"Online only: 70% off"
"AWpxbcOPM263mwCq-sDH","2019 May, 1","2019-05-01T03:01:42Z","Brinley Co.","Clothing,Shoes,Womens Shoes,All Womens Shoes","Taupe","Women's Wide Width High Heel Round Toe Bootie",,"Online only: 46% off"
"AWpxbiBqJbEilcB6RLJy","2019 May, 1","2019-05-01T03:01:41Z","Brinley Co.","Clothing,Shoes,Womens Shoes,All Womens Shoes","Wine","Women's Wide Width High Heel Round Toe Bootie",,"Online only"
"AWpxb5gqAGTnQPR7v3iZ","2019 May, 1","2019-05-01T03:01:40Z","Lifestride","Clothing,Shoes,Womens Shoes,All Womens Shoes","Inky Navy Polyurethane","Lifestride Women's Dig Black Ankle-High Flat Shoe - 6M",,"Online only"
"AWpxatqY0U_gzG0hjpkF","2019 May, 1","2019-05-01T03:01:38Z","Brinley Co.","Clothing,Shoes,Womens Shoes,All Womens Shoes","Grey","Women's Wide Calf Microsuede Slouch Boots",,"Online only: 50% off"
"AWpxbKkwM263mwCq-rwR","2019 May, 1","2019-05-01T03:01:26Z","Vaneli","Womens Shoes,Clothing,All Womens Shoes,Shoes","Wine Suede","Vaneli Womens Gemma Almond Toe",,"Online only: 58% off"
"AWpxacflJbEilcB6RKFM","2019 May, 1","2019-05-01T03:01:25Z","Vaneli","Womens Shoes,Clothing,All Womens Shoes,Shoes","Wine Suede","Vaneli Womens Gemma Almond Toe",,"Online only: 60% off"
"AWpxaG_n0U_gzG0hjpBh","2019 May, 1","2019-05-01T03:01:21Z","Penny Loves Kenny","Clothing,Shoes,Womens Shoes,All Womens Shoes","Red Stain Fabric","Penny Loves Kenny Women's Opus Dgn Satin Black High-Top Silk Pump - 7.5M",,"Online only: 18% off"
"AWpxbEbf0U_gzG0hjp7W","2019 May, 1","2019-05-01T03:00:47Z","UGG","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black","UGG Jeovana Women's Shoes Lace Up Wedge Bootie 1017421 Chestnut",,"Online only"
"AWpxb2nMM263mwCq-sdf","2019 May, 1","2019-05-01T03:00:47Z","UGG","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black","UGG Gita Women's Shoes Sheepskin Pom Pom Boot 1018517 Black",,"Online only"
"AWpxZlwXAGTnQPR7v1WZ","2019 May, 1","2019-05-01T03:00:46Z","catan","Womens Shoes,Clothing,All Womens Shoes,Shoes","Purple Sequins/Purple Chrome","pleaser women's ado1008sq/g/gch boot, gold sequins/gold chrome, 11 m us",,"Online only"
"AWpxbBwYJbEilcB6RKnU","2019 May, 1","2019-05-01T03:00:46Z","UGG","Clothing,Shoes,Womens Shoes,All Womens Shoes","Seal","UGG Classic Short Stargirl Women's Boots 1098474",,"Online only"
"AWpxaWoLJbEilcB6RJ-j","2019 May, 1","2019-05-01T03:00:44Z","Nomad","Clothing,Shoes,Womens Shoes,All Womens Shoes","Black","Women's Nomad Bobbi",,"Online only: 65% off"
"AWpxbLQ_M263mwCq-rxI","2019 May, 1","2019-05-01T03:00:43Z","Nomad","Clothing,Shoes,Womens Shoes,All Womens Shoes","Brown","Women's Nomad Janis Boho Fringe Bootie",,"Online only: 53% off"
